tile_file,source_file,source_type,dpi,source_width,source_height,x1,y1,x2,y2,tile_size,ink_ratio,edge_ratio
C3010-035-250F-01_tile_r00_c00.png,C3010-035-250F-01.pdf,pdf,300,3509,2480,0,0,1280,1280,1280,0.033755,0.015002
C3010-035-250F-01_tile_r00_c01.png,C3010-035-250F-01.pdf,pdf,300,3509,2480,960,0,2240,1280,1280,0.04553,0.020242
C3010-035-250F-01_tile_r00_c02.png,C3010-035-250F-01.pdf,pdf,300,3509,2480,1920,0,3200,1280,1280,0.05288,0.024152
C3010-035-250F-01_tile_r00_c03.png,C3010-035-250F-01.pdf,pdf,300,3509,2480,2229,0,3509,1280,1280,0.052258,0.024055
C3010-035-250F-01_tile_r01_c00.png,C3010-035-250F-01.pdf,pdf,300,3509,2480,0,960,1280,2240,1280,0.039387,0.017936
C3010-035-250F-01_tile_r01_c01.png,C3010-035-250F-01.pdf,pdf,300,3509,2480,960,960,2240,2240,1280,0.054774,0.023461
C3010-035-250F-01_tile_r01_c02.png,C3010-035-250F-01.pdf,pdf,300,3509,2480,1920,960,3200,2240,1280,0.085701,0.036259
C3010-035-250F-01_tile_r01_c03.png,C3010-035-250F-01.pdf,pdf,300,3509,2480,2229,960,3509,2240,1280,0.077687,0.033767
C3010-035-250F-01_tile_r02_c00.png,C3010-035-250F-01.pdf,pdf,300,3509,2480,0,1200,1280,2480,1280,0.03576,0.016469
C3010-035-250F-01_tile_r02_c01.png,C3010-035-250F-01.pdf,pdf,300,3509,2480,960,1200,2240,2480,1280,0.05427,0.023926
C3010-035-250F-01_tile_r02_c02.png,C3010-035-250F-01.pdf,pdf,300,3509,2480,1920,1200,3200,2480,1280,0.095375,0.042139
C3010-035-250F-01_tile_r02_c03.png,C3010-035-250F-01.pdf,pdf,300,3509,2480,2229,1200,3509,2480,1280,0.084288,0.037526
C3020-060-201F-02_tile_r00_c00.png,C3020-060-201F-02.pdf,pdf,300,3509,2480,0,0,1280,1280,1280,0.031122,0.013891
C3020-060-201F-02_tile_r00_c01.png,C3020-060-201F-02.pdf,pdf,300,3509,2480,960,0,2240,1280,1280,0.056889,0.025367
C3020-060-201F-02_tile_r00_c02.png,C3020-060-201F-02.pdf,pdf,300,3509,2480,1920,0,3200,1280,1280,0.064444,0.029235
C3020-060-201F-02_tile_r00_c03.png,C3020-060-201F-02.pdf,pdf,300,3509,2480,2229,0,3509,1280,1280,0.065198,0.029572
C3020-060-201F-02_tile_r01_c00.png,C3020-060-201F-02.pdf,pdf,300,3509,2480,0,960,1280,2240,1280,0.034587,0.016237
C3020-060-201F-02_tile_r01_c01.png,C3020-060-201F-02.pdf,pdf,300,3509,2480,960,960,2240,2240,1280,0.065022,0.027338
C3020-060-201F-02_tile_r01_c02.png,C3020-060-201F-02.pdf,pdf,300,3509,2480,1920,960,3200,2240,1280,0.080916,0.033279
C3020-060-201F-02_tile_r01_c03.png,C3020-060-201F-02.pdf,pdf,300,3509,2480,2229,960,3509,2240,1280,0.07295,0.031224
C3020-060-201F-02_tile_r02_c00.png,C3020-060-201F-02.pdf,pdf,300,3509,2480,0,1200,1280,2480,1280,0.031699,0.015264
C3020-060-201F-02_tile_r02_c01.png,C3020-060-201F-02.pdf,pdf,300,3509,2480,960,1200,2240,2480,1280,0.062236,0.026862
C3020-060-201F-02_tile_r02_c02.png,C3020-060-201F-02.pdf,pdf,300,3509,2480,1920,1200,3200,2480,1280,0.091671,0.03926
C3020-060-201F-02_tile_r02_c03.png,C3020-060-201F-02.pdf,pdf,300,3509,2480,2229,1200,3509,2480,1280,0.08366,0.036561
CARBIDE_BALLNOSE_2F_tile_r00_c00.png,CARBIDE BALLNOSE 2F.pdf,pdf,300,3509,2480,0,0,1280,1280,1280,0.023553,0.015366
CARBIDE_BALLNOSE_2F_tile_r00_c01.png,CARBIDE BALLNOSE 2F.pdf,pdf,300,3509,2480,960,0,2240,1280,1280,0.200137,0.013626
CARBIDE_BALLNOSE_2F_tile_r00_c02.png,CARBIDE BALLNOSE 2F.pdf,pdf,300,3509,2480,1920,0,3200,1280,1280,0.066417,0.009401
CARBIDE_BALLNOSE_2F_tile_r00_c03.png,CARBIDE BALLNOSE 2F.pdf,pdf,300,3509,2480,2229,0,3509,1280,1280,0.017317,0.009578
CARBIDE_BALLNOSE_2F_tile_r01_c00.png,CARBIDE BALLNOSE 2F.pdf,pdf,300,3509,2480,0,960,1280,2240,1280,0.055292,0.03437
CARBIDE_BALLNOSE_2F_tile_r01_c01.png,CARBIDE BALLNOSE 2F.pdf,pdf,300,3509,2480,960,960,2240,2240,1280,0.237435,0.026711
CARBIDE_BALLNOSE_2F_tile_r01_c02.png,CARBIDE BALLNOSE 2F.pdf,pdf,300,3509,2480,1920,960,3200,2240,1280,0.064945,0.004694
CARBIDE_BALLNOSE_2F_tile_r01_c03.png,CARBIDE BALLNOSE 2F.pdf,pdf,300,3509,2480,2229,960,3509,2240,1280,0.010643,0.005565
CARBIDE_BALLNOSE_2F_tile_r02_c00.png,CARBIDE BALLNOSE 2F.pdf,pdf,300,3509,2480,0,1200,1280,2480,1280,0.054459,0.033784
CARBIDE_BALLNOSE_2F_tile_r02_c01.png,CARBIDE BALLNOSE 2F.pdf,pdf,300,3509,2480,960,1200,2240,2480,1280,0.148084,0.02703
CARBIDE_BALLNOSE_2F_tile_r02_c02.png,CARBIDE BALLNOSE 2F.pdf,pdf,300,3509,2480,1920,1200,3200,2480,1280,0.036043,0.002514
CARBIDE_BALLNOSE_2F_tile_r02_c03.png,CARBIDE BALLNOSE 2F.pdf,pdf,300,3509,2480,2229,1200,3509,2480,1280,0.00534,0.002923
FAB-C-3020-175-6400_W3-C171246401-00_tile_r00_c00.png,FAB-C-3020-175-6400 W3-C171246401-00.pdf,pdf,300,7016,4961,0,0,1280,1280,1280,0.009611,0.006443
FAB-C-3020-175-6400_W3-C171246401-00_tile_r00_c01.png,FAB-C-3020-175-6400 W3-C171246401-00.pdf,pdf,300,7016,4961,960,0,2240,1280,1280,0.011536,0.009156
FAB-C-3020-175-6400_W3-C171246401-00_tile_r00_c02.png,FAB-C-3020-175-6400 W3-C171246401-00.pdf,pdf,300,7016,4961,1920,0,3200,1280,1280,0.015167,0.009334
FAB-C-3020-175-6400_W3-C171246401-00_tile_r00_c03.png,FAB-C-3020-175-6400 W3-C171246401-00.pdf,pdf,300,7016,4961,2880,0,4160,1280,1280,0.010369,0.006207
